               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,             0.07148,            0.065124,            0.065446,             0.81214,            0.064873,            0.092956,            0.035671,            0.067233,            0.034805,            0.060883,           0.0088417,           0.0088417,           0.0088417
                 119,            0.070574,            0.069432,            0.067494,              0.8186,            0.065142,             0.09103,            0.034302,            0.072218,            0.032738,            0.060425,           0.0088318,           0.0088318,           0.0088318
                 120,            0.070667,            0.062986,             0.06274,             0.82133,            0.075912,             0.10511,            0.038871,            0.066601,            0.033836,             0.06012,           0.0088219,           0.0088219,           0.0088219
                 121,            0.071661,            0.075935,            0.061039,             0.78389,             0.07176,            0.089134,            0.029006,            0.074282,            0.033249,            0.059555,            0.008812,            0.008812,            0.008812
                 122,            0.072998,             0.07087,            0.064667,             0.76443,            0.094114,             0.10116,            0.038371,            0.066752,            0.033859,            0.059097,           0.0088021,           0.0088021,           0.0088021
                 123,            0.069077,            0.073467,            0.061865,             0.81944,            0.067739,            0.095879,             0.03216,             0.07138,            0.033348,            0.059311,           0.0087922,           0.0087922,           0.0087922
                 124,            0.073677,            0.070314,            0.061225,             0.78409,            0.075085,            0.092291,            0.031452,            0.066874,            0.032677,            0.059128,           0.0087823,           0.0087823,           0.0087823
                 125,             0.07238,            0.067342,               0.061,             0.72343,            0.089308,            0.096293,            0.040472,             0.07311,            0.033531,            0.058502,           0.0087724,           0.0087724,           0.0087724
                 126,            0.072287,            0.066885,            0.064058,             0.79512,            0.086962,             0.11945,            0.044532,            0.067445,            0.032867,             0.05809,           0.0087625,           0.0087625,           0.0087625
                 127,            0.070366,            0.064649,            0.064406,             0.82233,            0.087336,             0.11297,            0.044612,            0.069262,            0.032349,            0.058197,           0.0087526,           0.0087526,           0.0087526
                 128,            0.072978,            0.066451,            0.061762,             0.81557,            0.075405,             0.10004,            0.041357,             0.06812,            0.032906,            0.058731,           0.0087427,           0.0087427,           0.0087427
                 129,            0.071204,            0.070622,            0.059508,             0.81857,            0.078262,            0.098592,            0.037518,            0.069776,            0.032333,            0.057678,           0.0087328,           0.0087328,           0.0087328
                 130,            0.070801,            0.059711,            0.065207,             0.79441,            0.079866,             0.10475,            0.039409,            0.066518,            0.033165,            0.058334,           0.0087229,           0.0087229,           0.0087229
                 131,            0.068886,            0.067432,            0.063018,             0.74729,             0.10995,             0.12353,            0.047686,            0.066609,            0.032234,            0.058167,            0.008713,            0.008713,            0.008713
                 132,            0.069802,            0.063916,            0.060593,             0.73229,             0.10809,             0.12005,            0.042977,            0.067235,            0.032478,            0.057938,           0.0087031,           0.0087031,           0.0087031
                 133,            0.070638,             0.06599,            0.060706,             0.73063,              0.1171,             0.12019,             0.04645,            0.068196,            0.032333,              0.0569,           0.0086932,           0.0086932,           0.0086932
                 134,            0.070587,            0.062086,            0.060821,               0.745,             0.10846,             0.11706,            0.043679,            0.066755,             0.03228,             0.05658,           0.0086833,           0.0086833,           0.0086833
                 135,            0.068262,            0.060053,            0.061817,             0.69761,             0.12721,             0.13486,            0.054388,            0.068876,            0.031273,            0.056351,           0.0086734,           0.0086734,           0.0086734
                 136,             0.07055,            0.062105,            0.061452,             0.66094,             0.14325,             0.13217,            0.054778,            0.064374,            0.032455,            0.056259,           0.0086635,           0.0086635,           0.0086635
                 137,            0.071725,            0.062549,            0.058192,              0.6523,             0.12922,             0.12508,            0.043391,            0.071585,            0.031158,            0.055969,           0.0086536,           0.0086536,           0.0086536
                 138,            0.071076,            0.058822,            0.061718,             0.73379,             0.11739,             0.13298,            0.055399,             0.06467,            0.031937,            0.055695,           0.0086437,           0.0086437,           0.0086437
                 139,            0.070989,            0.060916,            0.058657,             0.72593,             0.12834,             0.15423,            0.064878,            0.067529,            0.032417,            0.055466,           0.0086338,           0.0086338,           0.0086338
                 140,            0.067163,            0.061031,            0.059926,             0.73408,             0.12615,             0.13217,             0.05326,            0.065008,            0.031548,            0.055817,           0.0086239,           0.0086239,           0.0086239
                 141,            0.070531,            0.069832,            0.056746,             0.71017,             0.13605,             0.12239,            0.044016,            0.069982,            0.032433,            0.055817,            0.008614,            0.008614,            0.008614
                 142,            0.068512,            0.059275,            0.059645,             0.70783,             0.13128,             0.13642,            0.053636,             0.06479,            0.031921,            0.055374,           0.0086041,           0.0086041,           0.0086041
                 143,             0.06642,            0.060856,            0.061863,             0.81577,            0.095461,             0.13616,            0.054508,            0.063924,            0.032631,            0.055634,           0.0085942,           0.0085942,           0.0085942
                 144,            0.069189,            0.073253,            0.060538,             0.78481,             0.12164,             0.13468,            0.046347,            0.069055,            0.031296,            0.056076,           0.0085843,           0.0085843,           0.0085843
                 145,            0.068797,            0.063246,            0.059092,             0.79368,             0.11236,              0.1457,             0.05657,            0.063848,            0.031952,            0.055908,           0.0085744,           0.0085744,           0.0085744
                 146,             0.06819,            0.064459,            0.060772,             0.77287,             0.11462,             0.13752,            0.055146,            0.065613,             0.03186,            0.054535,           0.0085645,           0.0085645,           0.0085645
                 147,              0.0688,            0.061045,            0.062361,             0.73813,             0.13016,             0.15561,            0.062113,            0.064884,            0.031158,            0.054031,           0.0085546,           0.0085546,           0.0085546
                 148,            0.069507,            0.061737,            0.058485,             0.76806,             0.13309,             0.15766,            0.061914,            0.066428,            0.031067,            0.053711,           0.0085447,           0.0085447,           0.0085447
                 149,            0.069316,            0.059085,            0.059775,             0.71172,             0.14525,             0.15017,            0.059919,            0.064818,            0.031395,            0.054062,           0.0085348,           0.0085348,           0.0085348
                 150,             0.07029,             0.06325,            0.060485,             0.70083,             0.16249,             0.17238,            0.067774,            0.064166,            0.031754,            0.053772,           0.0085249,           0.0085249,           0.0085249
                 151,            0.067156,            0.063902,            0.059175,             0.76069,             0.13173,             0.15184,            0.061351,            0.064967,            0.031319,            0.053986,            0.008515,            0.008515,            0.008515
                 152,            0.065964,            0.065323,            0.057677,             0.76808,             0.12937,             0.14003,            0.046514,             0.06789,            0.030113,            0.053253,           0.0085051,           0.0085051,           0.0085051
